study,prop_id,question,text,short,truth,congenial,p_Democrat,p_Republican,n_Democrat,n_Republican,estimate,std_error,lower,upper,measure
mturk_march,m_eo_ban,eo,Temporarily bans immigrants from several majority-Muslim countries,Order bans entry from Muslim countries,TRUE,R,0.008064516129032258,0.01875,248,160,0.010685483870967741,0.012134504561047558,-0.013097708038922483,0.034468675780857966,scale_strict
mturk_march,m_eo_muslim_green_cards,eo,Strips immigrants from several Muslim-majority countries of their green cards,Order strips green cards (Muslim countries),FALSE,D,0.16129032258064516,0.1,248,160,-0.06129032258064515,0.033286134526308915,-0.12652994743676582,0.003949302275475519,scale_strict
mturk_march,m_eo_terror_green_cards,eo,Strips immigrants from countries supporting terrorism of their green cards,Order strips green cards (terror countries),FALSE,D,0.12903225806451613,0.1125,248,160,-0.016532258064516123,0.03282042704205624,-0.08085911302417079,0.04779459689513854,scale_strict
mturk_march,m_gg_lung_cancer,gg1,A cause of lung cancer,GHGs cause lung cancer,FALSE,D,0.13306451612903225,0.075,248,160,-0.058064516129032254,0.02997913257290991,-0.11682253625968726,6.93504001622755e-4,scale_strict
mturk_march,m_gg_sea_levels,gg1,A cause of rising sea levels,GHGs raise sea levels,TRUE,R,0.016129032258064516,0.1125,248,160,0.09637096774193549,0.026229961558738787,0.04496118777093738,0.1477807477129336,scale_strict
mturk_july,j_birth,birth,Barack Obama was born in the US,Obama born in the U.S.,TRUE,R,0.01935483870967742,0.17647058823529413,155,68,0.15711574952561672,0.04753567233785645,0.0639475437625212,0.2502839552887122,scale_lenient
mturk_july,j_death,death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,ACA creates no death panels,TRUE,R,0.07741935483870968,0.10294117647058823,155,68,0.02552182163187855,0.042647562488532166,-0.05806586487406587,0.10910950813782297,scale_lenient
mturk_july,j_deficit,deficit,"Since 2012, the annual federal budget deficit has increased",Deficit has risen since 2012,FALSE,R,0.23225806451612904,0.5147058823529411,155,68,0.28244781783681205,0.0694528963045278,0.14632264245794258,0.41857299321568153,scale_lenient
mturk_july,j_fraud,fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",Trump won most legal votes,FALSE,R,0.05161290322580645,0.19117647058823528,155,68,0.13956356736242884,0.05088950439335839,0.03982197156035358,0.2393051631645041,scale_lenient
mturk_july,j_illegal,illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,ACA helps illegal immigrants buy insurance,FALSE,R,0.0064516129032258064,0.1323529411764706,155,68,0.1259013282732448,0.04159464130600756,0.04437732936360793,0.20742532718288165,scale_lenient
mturk_july,j_increase,increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",Warming is human-caused,TRUE,R,0.025806451612903226,0.22058823529411764,155,68,0.1947817836812144,0.05187065885883492,0.09311716046353449,0.29644640689889434,scale_lenient
mturk_july,j_mmr,mmr,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",MMR vaccine causes autism,FALSE,none,0.012903225806451613,0.014705882352941176,155,68,0.0018026565464895634,0.01718298885801137,-0.03187538276196575,0.03548069585494487,scale_lenient
mturk_july,j_religion,religion,Barack Obama is a Muslim,Obama is a Muslim,FALSE,R,0.025806451612903226,0.10294117647058823,155,68,0.07713472485768501,0.03898975392256535,7.162114033776451e-4,0.15355323831199236,scale_lenient
mturk_july,j_science,science,Most climate scientists believe that global warming is not occurring,Most scientists doubt warming,FALSE,R,0.03225806451612903,0.014705882352941176,155,68,-0.017552182163187855,0.020358923012299926,-0.0574549380313194,0.022350573704943696,scale_lenient
mturk_march,m_aca_cuts_benefits,aca2,Cuts benefits to existing Medicare patients,ACA cuts Medicare benefits,FALSE,R,0.036290322580645164,0.13125,248,160,0.09495967741935485,0.02921759738144989,0.037694238836921294,0.1522251160017884,scale_lenient
mturk_march,m_aca_death_panel,aca2,Creates government panels to make end-of-life decisions for people on Medicare,ACA creates death panels,FALSE,R,0.028225806451612902,0.13125,248,160,0.1030241935483871,0.02869229401061913,0.04678833065373932,0.15926005644303487,scale_lenient
mturk_march,m_aca_illegal,aca1,Provides coverage for people who are currently in the country illegally,ACA covers illegal immigrants,FALSE,R,0.04435483870967742,0.2125,248,160,0.1681451612903226,0.034882885829027266,0.09977596138860655,0.2365143611920386,scale_lenient
mturk_march,m_aca_mammograms,aca1,Reimburse routine mammograms only for women older than 50,ACA covers mammograms only over 50,FALSE,R,0.10080645161290322,0.11875,248,160,0.017943548387096775,0.03193046812311029,-0.044639019143703634,0.08052611591789718,scale_lenient
mturk_march,m_aca_payroll_tax,aca1,Increases the Medicare payroll tax for upper-income Americans,ACA raises payroll tax on high earners,TRUE,none,0.22983870967741934,0.14375,248,160,-0.08608870967741936,0.038510371473581224,-0.16156765079689722,-0.01060976855794149,scale_lenient
mturk_march,m_aca_provider_payments,aca2,Limits future increases in payments to Medicare providers,ACA limits provider payments,TRUE,D,0.2661290322580645,0.275,248,160,0.00887096774193552,0.04509558041285175,-0.07951474572918378,0.09725668121305482,scale_lenient
mturk_march,m_aca_public_option,aca2,"Replaces Medicare with a ""public option""",ACA public option replaces Medicare,FALSE,none,0.06048387096774194,0.05625,248,160,-0.004233870967741936,0.02368380209415453,-0.050653270089259114,0.04218552815377524,scale_lenient
mturk_march,m_aca_single_payer,aca1,"Replaces private health insurance with a ""single payer system""",ACA is single payer,FALSE,R,0.05241935483870968,0.1625,248,160,0.11008064516129032,0.0324171946718272,0.04654411112468529,0.17361717919789535,scale_lenient
mturk_march,m_eo_ban,eo,Temporarily bans immigrants from several majority-Muslim countries,Order bans entry from Muslim countries,TRUE,R,0.008064516129032258,0.0375,248,160,0.02943548387096774,0.016057456338632342,-0.0020365522360760446,0.060907519978011526,scale_lenient
mturk_march,m_eo_muslim_green_cards,eo,Strips immigrants from several Muslim-majority countries of their green cards,Order strips green cards (Muslim countries),FALSE,D,0.24193548387096775,0.15,248,160,-0.09193548387096775,0.03919696465757638,-0.16876012290310682,-0.0151108448388287,scale_lenient
mturk_march,m_eo_terror_green_cards,eo,Strips immigrants from countries supporting terrorism of their green cards,Order strips green cards (terror countries),FALSE,D,0.1975806451612903,0.18125,248,160,-0.01633064516129032,0.03958250427821914,-0.09391092796450241,0.061249637641921775,scale_lenient
mturk_march,m_gg_lung_cancer,gg1,A cause of lung cancer,GHGs cause lung cancer,FALSE,D,0.1814516129032258,0.1,248,160,-0.0814516129032258,0.034079302977668494,-0.14824581935768466,-0.014657406448766966,scale_lenient
mturk_march,m_gg_sea_levels,gg1,A cause of rising sea levels,GHGs raise sea levels,TRUE,R,0.024193548387096774,0.16875,248,160,0.14455645161290323,0.03117536563205782,0.08345385776920214,0.20565904545660432,scale_lenient
mturk_july,j_birth,birth,Barack Obama was born in the US,Obama born in the U.S.,TRUE,R,0.04895104895104895,0.12121212121212122,143,66,0.07226107226107226,0.044039684901104256,-0.014055124035584468,0.15857726855772897,mc
mturk_july,j_birth,birth,Barack Obama was born in the US,Obama born in the U.S.,TRUE,R,0.007874015748031496,0.36764705882352944,127,68,0.35977304307549796,0.058994704457908644,0.2441455470594125,0.4754005390915834,mc_media
mturk_july,j_death,death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,ACA creates no death panels,TRUE,R,0.08391608391608392,0.3333333333333333,143,66,0.2494172494172494,0.06248667865069709,0.12694560974835525,0.3718888890861436,mc
mturk_july,j_death,death,The Affordable Care Act does not create government panels to make decisions about end-of-life care,ACA creates no death panels,TRUE,R,0.25984251968503935,0.4264705882352941,127,68,0.16662806855025475,0.0714935477837879,0.026503289767037114,0.3067528473334724,mc_media
mturk_july,j_deficit,deficit,"Since 2012, the annual federal budget deficit has increased",Deficit has risen since 2012,FALSE,R,0.42657342657342656,0.8333333333333334,143,66,0.4067599067599068,0.06176508984338923,0.2857025551649833,0.5278172583548304,mc
mturk_july,j_deficit,deficit,"Since 2012, the annual federal budget deficit has increased",Deficit has risen since 2012,FALSE,R,0.7244094488188977,0.8970588235294118,127,68,0.17264937471051411,0.054129252001615655,0.06655799027725484,0.2787407591437734,mc_media
mturk_july,j_fraud,fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",Trump won most legal votes,FALSE,R,0.1048951048951049,0.25757575757575757,143,66,0.15268065268065267,0.05961560098853442,0.03583622182641481,0.2695250835348905,mc
mturk_july,j_fraud,fraud,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",Trump won most legal votes,FALSE,R,0.16535433070866143,0.6764705882352942,127,68,0.5111162575266327,0.06561412019134619,0.38251494507431183,0.6397175699789536,mc_media
mturk_july,j_illegal,illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,ACA helps illegal immigrants buy insurance,FALSE,R,0.15384615384615385,0.4090909090909091,143,66,0.25524475524475526,0.06762390055057611,0.12270434567150779,0.38778516481800274,mc
mturk_july,j_illegal,illegal,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,ACA helps illegal immigrants buy insurance,FALSE,R,0.2047244094488189,0.6323529411764706,127,68,0.4276285317276517,0.06856274524820773,0.2932480203599699,0.5620090430953335,mc_media
mturk_july,j_increase,increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",Warming is human-caused,TRUE,R,0.055944055944055944,0.5,143,66,0.44405594405594406,0.06447642737326516,0.3176844685525319,0.5704274195593562,mc
mturk_july,j_increase,increase,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",Warming is human-caused,TRUE,R,0.10236220472440945,0.6470588235294118,127,68,0.5446966188050023,0.0638900172977971,0.41947448592967895,0.6699187516803257,mc_media
mturk_july,j_mmr,mmr,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",MMR vaccine causes autism,FALSE,none,0.06293706293706294,0.12121212121212122,143,66,0.05827505827505827,0.04501505306062223,-0.029952824485920793,0.14650294103603734,mc
mturk_july,j_mmr,mmr,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",MMR vaccine causes autism,FALSE,none,0.11023622047244094,0.16176470588235295,127,68,0.051528485409912006,0.0525964671385474,-0.05155869589568533,0.15461566671550936,mc_media
mturk_july,j_religion,religion,Barack Obama is a Muslim,Obama is a Muslim,FALSE,R,0.13286713286713286,0.25757575757575757,143,66,0.1247086247086247,0.060853267233723,0.005438412588936292,0.24397883682831312,mc
mturk_july,j_religion,religion,Barack Obama is a Muslim,Obama is a Muslim,FALSE,R,0.09448818897637795,0.6176470588235294,127,68,0.5231588698471514,0.06439434058035673,0.39694828150144623,0.6493694581928566,mc_media
mturk_july,j_science,science,Most climate scientists believe that global warming is not occurring,Most scientists doubt warming,FALSE,R,0.09090909090909091,0.2727272727272727,143,66,0.1818181818181818,0.05985978337613906,0.06449516227857983,0.29914120135778377,mc
mturk_july,j_science,science,Most climate scientists believe that global warming is not occurring,Most scientists doubt warming,FALSE,R,0.06299212598425197,0.36764705882352944,127,68,0.30465493283927747,0.062318697475588956,0.18251253022367597,0.42679733545487897,mc_media
