prop_id,study,question,column,text,short,truth,keep,congenial,truth_source,note
m_aca_payroll_tax,mturk_march,aca1,rg_s_aca_3,Increases the Medicare payroll tax for upper-income Americans,ACA raises payroll tax on high earners,TRUE,TRUE,none,ACA sec. 9015,
m_aca_mammograms,mturk_march,aca1,rg_s_aca_4,Reimburse routine mammograms only for women older than 50,ACA covers mammograms only over 50,FALSE,TRUE,R,ACA sec. 2713; screening from age 40 covered,
m_aca_death_panel,mturk_march,aca2,rg_s_aca2_1,Creates government panels to make end-of-life decisions for people on Medicare,ACA creates death panels,FALSE,TRUE,R,No such panel in the law,
m_aca_public_option,mturk_march,aca2,rg_s_aca2_2,"Replaces Medicare with a ""public option""",ACA public option replaces Medicare,FALSE,TRUE,none,Public option dropped from the enacted law,
m_aca_provider_payments,mturk_march,aca2,rg_s_aca2_3,Limits future increases in payments to Medicare providers,ACA limits provider payments,TRUE,TRUE,D,ACA sec. 3401,
m_aca_cuts_benefits,mturk_march,aca2,rg_s_aca2_4,Cuts benefits to existing Medicare patients,ACA cuts Medicare benefits,FALSE,TRUE,R,Guaranteed benefits unchanged,
m_gg_respiratory,mturk_march,gg1,rg_s_gg_1,A cause of respiratory problems,GHGs cause respiratory problems,,FALSE,none,,Dropped: ground-level ozone is both a greenhouse gas and a respiratory irritant
m_gg_lung_cancer,mturk_march,gg1,rg_s_gg_2,A cause of lung cancer,GHGs cause lung cancer,FALSE,TRUE,D,"No major greenhouse gas (CO2, CH4, N2O, fluorinated gases) is a lung carcinogen; the carcinogens in combustion exhaust are co-pollutants",
m_gg_ozone,mturk_march,gg1,rg_s_gg_3,Damaging the ozone layer,GHGs damage ozone layer,,FALSE,none,,Dropped: nitrous oxide and CFCs are greenhouse gases that deplete stratospheric ozone
m_gg_sea_levels,mturk_march,gg1,rg_s_gg_4,A cause of rising sea levels,GHGs raise sea levels,TRUE,TRUE,R,IPCC AR5 WG1 Summary for Policymakers (2013),
m_gg2_natural_gas,mturk_march,gg2,rg_s_gg2_1,Unconnected to burning natural gas,GHGs unconnected to natural gas,,FALSE,none,,Dropped with its question: a last-minute edit left two correct options
m_gg2_clean_coal,mturk_march,gg2,rg_s_gg2_2,Produced more by burning clean coal than by other fossil fuels,Clean coal emits more GHGs,,FALSE,none,,Dropped with its question
m_gg2_nuclear,mturk_march,gg2,rg_s_gg2_3,Produced by nuclear power plants,Nuclear plants emit GHGs,,FALSE,none,,Dropped with its question
m_gg2_trees,mturk_march,gg2,rg_s_gg2_4,Reduced by trees and other plants,Trees reduce GHGs,,FALSE,none,,Dropped with its question
m_eo_deportation,mturk_march,eo,rg_s_dt_1,Subjects immigrants living in the U.S. illegally to deportation,Order subjects illegal immigrants to deportation,,FALSE,none,,"Dropped: the most recent order (EO 13780) did not, but the January interior-enforcement order (EO 13768) expanded removal priorities"
m_eo_terror_green_cards,mturk_march,eo,rg_s_dt_2,Strips immigrants from countries supporting terrorism of their green cards,Order strips green cards (terror countries),FALSE,TRUE,D,EO 13780 sec. 3(b)(i) exempts lawful permanent residents,
m_eo_muslim_green_cards,mturk_march,eo,rg_s_dt_3,Strips immigrants from several Muslim-majority countries of their green cards,Order strips green cards (Muslim countries),FALSE,TRUE,D,EO 13780 sec. 3(b)(i) exempts lawful permanent residents,
m_eo_ban,mturk_march,eo,rg_s_dt_4,Temporarily bans immigrants from several majority-Muslim countries,Order bans entry from Muslim countries,TRUE,TRUE,R,EO 13780 sec. 2(c) suspends entry from six majority-Muslim countries for 90 days,
j_birth,mturk_july,birth,24k_block1_3,Barack Obama was born in the US,Obama born in the U.S.,TRUE,TRUE,R,Hawaii State Department of Health birth certificate (2011),
j_religion,mturk_july,religion,24k_block1_4,Barack Obama is a Muslim,Obama is a Muslim,FALSE,TRUE,R,Obama is a Christian (Pew Research Center 2010),
j_illegal,mturk_july,illegal,24k_block1_5,The Affordable Care Act gives illegal immigrants financial help to buy health insurance,ACA helps illegal immigrants buy insurance,FALSE,TRUE,R,ACA sec. 1312(f)(3),
j_death,mturk_july,death,24k_block1_6,The Affordable Care Act does not create government panels to make decisions about end-of-life care,ACA creates no death panels,TRUE,TRUE,R,No such panel in the law,
j_increase,mturk_july,increase,24k_block2_1,"Temperatures around the world are increasing because of human activity, like burning coal and gasoline",Warming is human-caused,TRUE,TRUE,R,IPCC AR5 WG1 Summary for Policymakers (2013),
j_science,mturk_july,science,24k_block2_2,Most climate scientists believe that global warming is not occurring,Most scientists doubt warming,FALSE,TRUE,R,Cook et al. (2016),
j_fraud,mturk_july,fraud,24k_block2_3,"In the 2016 presidential election, President Trump won the majority of the legally cast votes",Trump won most legal votes,FALSE,TRUE,R,"FEC official 2016 results: Trump won 46.1% of votes cast, so he would hold a majority of legal votes only if more than 10 million votes for other candidates were illegal",
j_mmr,mturk_july,mmr,24k_block2_4,"The vaccine for measles, mumps, and rubella (MMR) causes autism in children",MMR vaccine causes autism,FALSE,TRUE,none,"Taylor, Swerdfeger and Eslick (2014)",
j_deficit,mturk_july,deficit,24k_block2_5,"Since 2012, the annual federal budget deficit has increased",Deficit has risen since 2012,FALSE,TRUE,R,"CBO: deficit $1,087 billion in FY2012, $585 billion in FY2016",
