key,validation,doi_or_url,note
luskin2005,author_archive (reused verbatim),https://web.stanford.edu/class/polisci353/2004fall/reading/BullockPiece.doc,Ref list: 'Re: Measuring political sophistication. Working Paper'; legacy biblio.bib instead titled a 2005 MPSA paper 'Don't Know Means Don't Know' (the JOP article's precursor). Reused entry follows the ref list title
luskin2011,crossref_doi (reused verbatim),10.1017/s0022381611000132,"Ref list dates it 2012 ('Don't Know Means Don't Know', JOP); published 2011, 73(2)"
luskin2012,secondary_citation (reused verbatim),,Not in ref list. Identified as 'Hidden Knowledge (and Veiled Ignorance)' MPSA 2012 via Cor & Sood 2016
luskin2018,author_file+web,https://www.gsood.com/research/papers/misinformation_misinformation.pdf,"Draft omits 4th author Blank (earlier drafts: 'Luskin, Sood, Park, and Blank 2017'). Unpublished MPSA 2018 draft (Mar 30, 2018); no journal version found (Crossref, web; Altay et al. 2023 cite it as unpublished). Not in ref list"
mondak1999,crossref_doi (reused verbatim),10.1093/oxfordjournals.pan.a029805,2010 drafts
mullinix2015,crossref_doi,10.1017/xps.2015.19,"Draft year 2016 = online date (Jan 2016); issue is JEPS 2(2), 2015. Not in ref list"
nyhan2010a,crossref_doi,10.2202/1540-8884.1354,In-text Nyhan 2010 (death panels) is The Forum 8(1). Public Choice testimony paper in the old ref list was never cited for this and is dropped
nyhan2010b,crossref_doi,10.1007/s11109-010-9112-2,Cited in 2012-2013 drafts
pasek2015,crossref_doi,10.1111/jcom.12165,Crossref BibTeX appends a running-head subtitle to the title; dropped
peterson2021,crossref_doi,10.1111/ajps.12535,"Online June 2020 (Crossref BibTeX says 2020); print AJPS 65(1), Jan 2021"
pew2009,publisher_page,https://www.pewresearch.org/politics/2009/08/20/health-care-reform-closely-followed-much-discussed/,"Ref list title 'Death Panels Live On With Fox Viewers. Fewer See Press As Fair To Obama' not on report page; actual title 'Health Care Reform Closely Followed, Much Discussed' (Aug 20, 2009)"
pew2010,web_page,https://www.pewresearch.org/politics/2010/08/19/growing-number-of-americans-say-obama-is-a-muslim/,"18% said Obama is a Muslim, July-Aug 2010"
prior2015,crossref_doi,10.1561/100.00014127,Not in ref list (04-08-18 endnote only)
schaffner2018,crossref_doi,10.1093/poq/nfx042,Added for this manuscript
shen2025,crossref_doi,10.1093/poq/nfaf044,Added for this manuscript
stroud2010,crossref_doi,10.1111/j.1460-2466.2010.01497.x,2011 drafts
sturgis2008,crossref_doi (reused verbatim),10.1093/poq/nfm032,04-04-18-gs has placeholder 'Sturgis xxxx'; 09-02-17 draft says 2007. Not in ref list
taber2006,crossref_doi,10.1111/j.1540-5907.2006.00214.x,Cited (no year) in 2012-2013 drafts
